Client version: not initialize
User hash: not initialize
DeviceId hash: not initialize
User gcm token: not initialize
Device params - OS Version: 7.1.1;  Device: Huawei google Nexus 6P ,Build Fingerprint: google/angler/angler:7.1.1/N4F26I/3532671:user/release-keys
01-19 14:47:52.650  1943     1 D Calendar EmailProvider.onCreate()
01-19 14:47:52.651  1943     1 D Calendar EmailProvider.startInitializer: EmailProviderInitializer thread started!
01-19 14:47:52.651  1943   608 D Calendar EmailProvider.startInitializer: Waiting for next command...
01-19 14:47:52.652  1943   608 D Calendar EmailProvider.startInitializer: Running  command 'first-initialization', seq=0
01-19 14:47:52.652  1943   608 D Calendar EmailProvider.initializeProvider: Waiting for key
01-19 14:47:52.652  1943   608 E AppInfra cur.siteManager == null
01-19 14:47:52.659  1943     1 D Calendar CalendarProvider2.startInitializer: EmailProviderInitializer thread started!
01-19 14:47:52.660  1943     1 D Calendar CalendarProvider2.onCreate: initializing provider...
01-19 14:47:52.660  1943   609 D Calendar CalendarProvider2.startInitializer:run() Waiting for next command...
01-19 14:47:52.660  1943   609 D Calendar CalendarProvider2.startInitializer:run() Running  command 'first-init', seq=0
01-19 14:47:52.660  1943   609 D Calendar CalendarProvider2.postInitialize: Waiting for key...
01-19 14:47:52.661  1943   609 E AppInfra cur.siteManager == null
01-19 14:47:52.663  1943     1 D Workspace AppManager.::onCreate(): Application
01-19 14:47:52.724  1943     1 D Workspace mb.Constructor:
01-19 14:47:52.724  1943     1 D Workspace mb.getAFDefaultKey: Generating default key
01-19 14:47:52.727  1943     1 D Workspace mb.generateSalt: Generating salt.
01-19 14:47:52.727  1943     1 D Workspace mb.createKTag: Creating kTag.
01-19 14:47:52.763  1943     1 D Workspace SecureStorage.setKey(): got key with hash = 4A85FF0FA1477564D6B10F4DC607F9E6FD725567, with length = 32
01-19 14:47:52.769  1943     1 V Workspace mv.startService: called
01-19 14:47:52.785  1943     1 V Workspace mv.bindService: called
01-19 14:47:52.789  1943     1 D Workspace nv.UIManager: Constructor.
01-19 14:47:52.797  1943     1 E Workspace UpdateCode.patchVersionCodeInSP(): version is null!
01-19 14:47:52.798  1943     1 D Workspace SecureStorage.testPasscodeTestKey: called
